"filename", "language", "YAML", "JSON", "Markdown", "HTML", "C++", "CMake", "Swift", "Dart", "Groovy", "Properties", "XML", "comment", "blank", "total"
"c:\Users\Administrator\Documents\Project\projeto_webdesign\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Administrator\Documents\Project\projeto_webdesign\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\Administrator\Documents\Project\projeto_webdesign\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 5, 13, 72
"c:\Users\Administrator\Documents\Project\projeto_webdesign\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 1, 9
"c:\Users\Administrator\Documents\Project\projeto_webdesign\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 6, 1, 35
"c:\Users\Administrator\Documents\Project\projeto_webdesign\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"c:\Users\Administrator\Documents\Project\projeto_webdesign\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"c:\Users\Administrator\Documents\Project\projeto_webdesign\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"c:\Users\Administrator\Documents\Project\projeto_webdesign\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"c:\Users\Administrator\Documents\Project\projeto_webdesign\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 1, 9
"c:\Users\Administrator\Documents\Project\projeto_webdesign\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\Administrator\Documents\Project\projeto_webdesign\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Administrator\Documents\Project\projeto_webdesign\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\Administrator\Documents\Project\projeto_webdesign\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\Users\Administrator\Documents\Project\projeto_webdesign\assets\images\wave01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Administrator\Documents\Project\projeto_webdesign\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Administrator\Documents\Project\projeto_webdesign\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\Administrator\Documents\Project\projeto_webdesign\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Administrator\Documents\Project\projeto_webdesign\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Administrator\Documents\Project\projeto_webdesign\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 1, 38
"c:\Users\Administrator\Documents\Project\projeto_webdesign\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 1, 27
"c:\Users\Administrator\Documents\Project\projeto_webdesign\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Administrator\Documents\Project\projeto_webdesign\lib\ProjetoWebDesign.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 2, 13, 105
"c:\Users\Administrator\Documents\Project\projeto_webdesign\lib\Widgets\CustomCard.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 3, 36
"c:\Users\Administrator\Documents\Project\projeto_webdesign\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 3, 17
"c:\Users\Administrator\Documents\Project\projeto_webdesign\lib\screens\AboutUs.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 10, 164
"c:\Users\Administrator\Documents\Project\projeto_webdesign\lib\screens\Account.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 8, 177
"c:\Users\Administrator\Documents\Project\projeto_webdesign\lib\screens\Clean.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 1, 8, 120
"c:\Users\Administrator\Documents\Project\projeto_webdesign\lib\screens\Config.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 8, 15, 147
"c:\Users\Administrator\Documents\Project\projeto_webdesign\lib\screens\ConfigBlankPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\Administrator\Documents\Project\projeto_webdesign\lib\screens\Home.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 13, 76
"c:\Users\Administrator\Documents\Project\projeto_webdesign\lib\screens\Login.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 9, 177
"c:\Users\Administrator\Documents\Project\projeto_webdesign\lib\screens\OptimizationBlankPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Administrator\Documents\Project\projeto_webdesign\lib\screens\RegisterBlankPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\Administrator\Documents\Project\projeto_webdesign\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\Administrator\Documents\Project\projeto_webdesign\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Administrator\Documents\Project\projeto_webdesign\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Administrator\Documents\Project\projeto_webdesign\linux\main.cc", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Administrator\Documents\Project\projeto_webdesign\linux\my_application.cc", "C++", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\Administrator\Documents\Project\projeto_webdesign\linux\my_application.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\Administrator\Documents\Project\projeto_webdesign\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 4, 19
"c:\Users\Administrator\Documents\Project\projeto_webdesign\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Administrator\Documents\Project\projeto_webdesign\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Administrator\Documents\Project\projeto_webdesign\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 1, 344
"c:\Users\Administrator\Documents\Project\projeto_webdesign\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Administrator\Documents\Project\projeto_webdesign\pubspec.yaml", "YAML", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 15, 107
"c:\Users\Administrator\Documents\Project\projeto_webdesign\web\index.html", "HTML", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 16, 6, 59
"c:\Users\Administrator\Documents\Project\projeto_webdesign\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Administrator\Documents\Project\projeto_webdesign\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\Users\Administrator\Documents\Project\projeto_webdesign\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Administrator\Documents\Project\projeto_webdesign\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Administrator\Documents\Project\projeto_webdesign\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\Administrator\Documents\Project\projeto_webdesign\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Administrator\Documents\Project\projeto_webdesign\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Administrator\Documents\Project\projeto_webdesign\windows\runner\resource.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Administrator\Documents\Project\projeto_webdesign\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\Administrator\Documents\Project\projeto_webdesign\windows\runner\utils.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Administrator\Documents\Project\projeto_webdesign\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\Administrator\Documents\Project\projeto_webdesign\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 35, 248, 13, 37, 509, 39, 44, 961, 89, 8, 467, 279, 359, 3088